Weekday,TimestampDetected,Brand,StoreAddress,InventoryQty
Friday,2025-08-22 14:34:18,E.H. TAYLOR JR. SMALL BATCH,"6494 Tryon Rd., Cary, NC 27511",6
Friday,2025-08-22 14:34:18,BLANTON'S BOURBON,"6494 Tryon Rd., Cary, NC 27511",6
Friday,2025-08-22 14:34:18,EAGLE RARE 10Y,"6494 Tryon Rd., Cary, NC 27511",24
Friday,2025-08-22 14:34:18,BUFFALO TRACE BOURBON WHISKEY,"6494 Tryon Rd., Cary, NC 27511",36
Monday,2025-08-25 12:53:41,WELLER FULL PROOF,"200 New Rand Road, Garner, NC 27529",6
Monday,2025-08-25 12:53:41,W.L. WELLER 12Y,"200 New Rand Road, Garner, NC 27529",12
Monday,2025-08-25 12:53:41,E.H. TAYLOR JR. SMALL BATCH,"200 New Rand Road, Garner, NC 27529",6
Monday,2025-08-25 12:53:41,BLANTON'S BOURBON,"200 New Rand Road, Garner, NC 27529",6
Monday,2025-08-25 12:53:41,BLANTON'S BOURBON,"1415 E. Williams St., Apex, NC 27617",6
Monday,2025-08-25 12:53:41,EAGLE RARE 10Y,"200 New Rand Road, Garner, NC 27529",24
Monday,2025-08-25 12:53:41,EAGLE RARE 10Y,"1415 E. Williams St., Apex, NC 27617",24
Monday,2025-08-25 12:53:41,BUFFALO TRACE BOURBON WHISKEY,"200 New Rand Road, Garner, NC 27529",36
Monday,2025-08-25 12:53:41,BUFFALO TRACE BOURBON WHISKEY,"1415 E. Williams St., Apex, NC 27617",36
Thursday,2025-08-28 09:30:50,WELLER FULL PROOF,"7200 Sandy Fork Rd., Raleigh, NC 27609",4
Thursday,2025-08-28 09:30:50,WELLER FULL PROOF,"7336 Creedmoor Rd., Raleigh, NC 27613",6
Thursday,2025-08-28 09:30:50,W.L. WELLER 12Y,"7200 Sandy Fork Rd., Raleigh, NC 27609",12
Thursday,2025-08-28 09:30:50,W.L. WELLER 12Y,"7336 Creedmoor Rd., Raleigh, NC 27613",12
Thursday,2025-08-28 09:30:50,E.H. TAYLOR JR. SMALL BATCH,"7200 Sandy Fork Rd., Raleigh, NC 27609",6
Thursday,2025-08-28 09:30:50,E.H. TAYLOR JR. SMALL BATCH,"7336 Creedmoor Rd., Raleigh, NC 27613",6
Thursday,2025-08-28 09:30:50,BLANTON'S BOURBON,"7200 Sandy Fork Rd., Raleigh, NC 27609",4
Thursday,2025-08-28 09:30:50,BLANTON'S BOURBON,"7336 Creedmoor Rd., Raleigh, NC 27613",6
Thursday,2025-08-28 09:30:50,EAGLE RARE 10Y,"7200 Sandy Fork Rd., Raleigh, NC 27609",22
Thursday,2025-08-28 09:30:50,EAGLE RARE 10Y,"7336 Creedmoor Rd., Raleigh, NC 27613",24
Thursday,2025-08-28 09:30:50,BUFFALO TRACE BOURBON WHISKEY,"7200 Sandy Fork Rd., Raleigh, NC 27609",48
Thursday,2025-08-28 09:30:50,BUFFALO TRACE BOURBON WHISKEY,"7336 Creedmoor Rd., Raleigh, NC 27613",48
Thursday,2025-08-28 15:38:32,WELLER FULL PROOF,"6809 Davis Circle, Raleigh, NC 27612",6
Thursday,2025-08-28 15:38:32,W.L. WELLER 12Y,"3320 Olympia Dr., Raleigh, NC 27603",12
Thursday,2025-08-28 15:38:32,W.L. WELLER 12Y,"6809 Davis Circle, Raleigh, NC 27612",12
Thursday,2025-08-28 15:38:32,E.H. TAYLOR JR. SMALL BATCH,"6809 Davis Circle, Raleigh, NC 27612",6
Thursday,2025-08-28 15:38:32,BLANTON'S BOURBON,"3320 Olympia Dr., Raleigh, NC 27603",6
Thursday,2025-08-28 15:38:32,BLANTON'S BOURBON,"4501 Vineyard Pine Ln., Rolesville, NC 27571",6
Thursday,2025-08-28 15:38:32,BLANTON'S BOURBON,"6809 Davis Circle, Raleigh, NC 27612",6
Thursday,2025-08-28 15:38:32,EAGLE RARE 10Y,"3320 Olympia Dr., Raleigh, NC 27603",24
Thursday,2025-08-28 15:38:32,EAGLE RARE 10Y,"4501 Vineyard Pine Ln., Rolesville, NC 27571",24
Thursday,2025-08-28 15:38:32,EAGLE RARE 10Y,"6809 Davis Circle, Raleigh, NC 27612",24
Thursday,2025-08-28 15:38:32,BUFFALO TRACE BOURBON WHISKEY,"3320 Olympia Dr., Raleigh, NC 27603",36
Thursday,2025-08-28 15:38:32,BUFFALO TRACE BOURBON WHISKEY,"4501 Vineyard Pine Ln., Rolesville, NC 27571",36
Thursday,2025-08-28 15:38:32,BUFFALO TRACE BOURBON WHISKEY,"6809 Davis Circle, Raleigh, NC 27612",48
Wednesday,2025-09-03 09:31:39,EAGLE RARE 10Y,"1793 West Williams St., Apex, NC 27502",5
Friday,2025-09-05 16:46:25,W.L. WELLER 12Y,"3615 SW Cary Parkway , Cary, NC 27513",12
Friday,2025-09-05 16:46:25,BLANTON'S BOURBON,"3615 SW Cary Parkway , Cary, NC 27513",6
Friday,2025-09-05 16:46:25,EAGLE RARE 10Y,"3615 SW Cary Parkway , Cary, NC 27513",24
Friday,2025-09-05 16:46:25,BUFFALO TRACE BOURBON WHISKEY,"3615 SW Cary Parkway , Cary, NC 27513",36
Tuesday,2025-09-09 15:45:32,BLANTON'S BOURBON,"1601-61 Cross Link Rd., Raleigh, NC 27610",6
Tuesday,2025-09-09 15:45:32,EAGLE RARE 10Y,"1601-61 Cross Link Rd., Raleigh, NC 27610",24
Tuesday,2025-09-09 15:45:32,BUFFALO TRACE BOURBON WHISKEY,"1601-61 Cross Link Rd., Raleigh, NC 27610",36
Tuesday,2025-09-09 16:46:47,SHENK'S SOUR MASH WHISKEY,"1601-61 Cross Link Rd., Raleigh, NC 27610",3
Thursday,2025-09-11 09:27:13,SHENK'S SOUR MASH WHISKEY,"1940 Cinema Dr., Fuquay Varina, NC 27526",3
Wednesday,2025-09-10 09:27:13,SHENK'S SOUR MASH WHISKEY,"100 Village Walk Dr., Holly Springs, NC 27540",3
Thursday,2025-09-11 09:27:13,SHENK'S SOUR MASH WHISKEY,"2109-106 Avent Ferry Rd., Raleigh, NC 27606",3
Thursday,2025-09-11 09:27:13,SHENK'S SOUR MASH WHISKEY,"209 S Salisbury St, Raleigh, NC 27601",3
Thursday,2025-09-11 09:27:13,WELLER MILLENNIUM,"209 S Salisbury St, Raleigh, NC 27601",5
Thursday,2025-09-11 09:27:13,WELLER SPECIAL RESERVE (BTB),"209 S Salisbury St, Raleigh, NC 27601",120
Thursday,2025-09-11 09:27:13,WELLER FULL PROOF,"209 S Salisbury St, Raleigh, NC 27601",6
Thursday,2025-09-11 09:27:13,W.L. WELLER 12Y,"209 S Salisbury St, Raleigh, NC 27601",12
Thursday,2025-09-11 09:27:13,E.H. TAYLOR JR. SMALL BATCH,"1940 Cinema Dr., Fuquay Varina, NC 27526",6
Thursday,2025-09-11 09:27:13,E.H. TAYLOR JR. SMALL BATCH,"209 S Salisbury St, Raleigh, NC 27601",6
Thursday,2025-09-11 09:27:13,E.H. TAYLOR JR. BARREL PROOF,"209 S Salisbury St, Raleigh, NC 27601",6
