ExpectedDate,AnnouncedDate,ConfirmedDate,Store,Brand,Board,Status,DaysSinceLast,Source
2025-08-13,2025-08-13,,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"665 Cary Towne Blvd., Cary, NC 27511",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"665 Cary Towne Blvd., Cary, NC 27511",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"665 Cary Towne Blvd., Cary, NC 27511",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"665 Cary Towne Blvd., Cary, NC 27511",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-13,2025-08-13,,"665 Cary Towne Blvd., Cary, NC 27511",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-14,2025-08-14,,"2645 Appliance Ct., Raleigh, NC 27604",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-14,2025-08-14,,"6301 Town Center Dr., Raleigh, NC 27614",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-15,2025-08-15,,"1505 Banyon Pl., Wendell, NC 27571",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-19,2025-08-19,,"1222 New Bern Ave., Raleigh, NC 27401",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-19,2025-08-19,,"1222 New Bern Ave., Raleigh, NC 27401",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-19,2025-08-19,,"1222 New Bern Ave., Raleigh, NC 27401",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-22,2025-08-22,,"6494 Tryon Rd., Cary, NC 27511",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"1415 E. Williams St., Apex, NC 27617",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"1415 E. Williams St., Apex, NC 27617",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"1415 E. Williams St., Apex, NC 27617",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"200 New Rand Road, Garner, NC 27529",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"200 New Rand Road, Garner, NC 27529",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"200 New Rand Road, Garner, NC 27529",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"200 New Rand Road, Garner, NC 27529",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"200 New Rand Road, Garner, NC 27529",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-25,2025-08-25,,"200 New Rand Road, Garner, NC 27529",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"3320 Olympia Dr., Raleigh, NC 27603",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"3320 Olympia Dr., Raleigh, NC 27603",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"3320 Olympia Dr., Raleigh, NC 27603",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"3320 Olympia Dr., Raleigh, NC 27603",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-27,2025-08-28,,"4501 Vineyard Pine Ln., Rolesville, NC 27571",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
